	arp.opcode	icmp.checksum	icmp.seq_le	icmp.transmit_timestamp	icmp.unused	http.file_data	http.content_length	http.request.uri.query	http.request.method	http.referer	http.request.full_uri	http.request.version	http.response	http.tls_port	tcp.ack	tcp.connection.fin	tcp.connection.rst	tcp.connection.syn	tcp.connection.synack	tcp.flags.ack	tcp.len	tcp.seq	tcp.srcport	udp.port	udp.stream	udp.time_delta	dns.qry.name.len	dns.qry.qu	dns.qry.type	dns.retransmission	dns.retransmit_request	mqtt.conack.flags	mqtt.conflag.cleansess	mqtt.conflags	mqtt.hdrflags	mqtt.len	mqtt.msg_decoded_as	mqtt.msgtype	mqtt.topic_len	mqtt.ver	mbtcp.len	mbtcp.trans_id	mbtcp.unit_id	Attack_label	tcp.dstport_category
arp.opcode	1.0													-0.0040424057201518945	-0.006746154376699231	-0.007988028518787304	-0.00862802278400313	-0.005476626817105167	-0.004308425058910095	-0.001966907579141008	-0.002718930907679116	-0.0019856281390329827	-0.02218192420874593	-0.0006477100255154866	-0.00017501282298031207	-0.00023802217066402296	-0.001026736696295781	-0.000213003269022769	-0.0007517643568424512	-0.0001625599435086529	-5.907411443965241e-05	0.026189152009390173	-0.005448075750204656	0.02636686929801895	-0.0007250445889464961	-0.007473789336578648		-0.007748868789677192	-0.00507639225742979	-0.004948770927605751	-0.004834176613828577	-0.005614036308498119	-8.35436923070317e-05		-0.065319825078447
icmp.checksum																																													
icmp.seq_le																																													
icmp.transmit_timestamp																																													
icmp.unused																																													
http.file_data																																													
http.content_length																																													
http.request.uri.query																																													
http.request.method																																													
http.referer																																													
http.request.full_uri																																													
http.request.version																																													
http.response																																													
http.tls_port	-0.0040424057201518945													1.0	0.468330454062854	-0.06168743363104195	-0.06662978000185174	-0.04229316828604004	0.051344859082559424	0.01403680529931116	-0.02099690424494236	-0.01462449202350057	-0.1712995859012753	-0.005001931217092632	-0.0013515339707147374	-0.0018381227384228977	-0.007928959149349327	-0.0016449146357118874	-0.00580548927183132	-0.0012553667907757944	-0.0004561989864254959	0.26705915239037936	-0.042072685452638425	0.26871061029804394	0.016849675519078924	-0.05771622905304472		-0.059840526114125894	-0.03920236510533693	0.07784408480299464	0.29261438693827474	0.2878180606854535	-0.0006451649443115302		-0.15390786975510382
tcp.ack	-0.006746154376699231													0.468330454062854	1.0	-0.10294684218502119	-0.11119487085059959	-0.06938059615080143	0.728772467618652	0.07396652083687116	-0.03494104102136016	-0.024807670142989856	-0.28445283179000497	-0.008347455081987637	-0.002255502649410617	-0.0030675445799281213	-0.013232215213183674	-0.002745109926419733	-0.009688470077312057	-0.0020950143939627674	-0.0007613260523499593	0.4444333761233406	-0.07021285084741148	0.4471840319962402	0.02768749730289078	-0.09631952134155883		-0.09986464622412539	-0.06542272587015478	0.7376036328218087	0.5883456257074193	0.7807746285538009	-0.001076681212990695		-0.25683739455939586
