	Mutual Information Score
tcp.dstport_category	0.011610000000003229
tcp.connection.rst	0.0014733333333365461
mqtt.hdrflags	0.0012166666666699744
tcp.connection.fin	0.0011366666666698944
mqtt.conflags	0.0008600000000033026
mqtt.conack.flags	0.0007700000000032681
mqtt.msgtype	0.0006666666666699239
tcp.connection.syn	0.0006033333333366198
mqtt.conflag.cleansess	0.0005866666666699549
tcp.srcport	0.0005400000000033156
mbtcp.trans_id	0.00041666666666995145
tcp.flags.ack	0.00023000000000328313
mqtt.len	0.00022000000000321762
mqtt.ver	0.0001633333333366238
tcp.len	8.000000000329965e-05
tcp.connection.synack	6.333333333663482e-05
mqtt.topic_len	4.000000000325965e-05
dns.qry.name.len	1.0000000003285159e-05
http.content_length	3.219646771412954e-15
http.file_data	3.219646771412954e-15
icmp.unused	3.219646771412954e-15
icmp.transmit_timestamp	3.219646771412954e-15
http.request.full_uri	3.219646771412954e-15
mqtt.msg_decoded_as	3.219646771412954e-15
dns.retransmission	3.219646771412954e-15
icmp.seq_le	3.219646771412954e-15
mbtcp.len	3.219646771412954e-15
mbtcp.unit_id	3.219646771412954e-15
dns.retransmit_request	3.219646771412954e-15
dns.qry.qu	3.219646771412954e-15
dns.qry.type	3.219646771412954e-15
http.request.version	3.219646771412954e-15
udp.time_delta	3.219646771412954e-15
udp.stream	3.219646771412954e-15
udp.port	3.219646771412954e-15
icmp.checksum	3.219646771412954e-15
tcp.seq	3.219646771412954e-15
http.request.uri.query	3.219646771412954e-15
http.request.method	3.219646771412954e-15
http.referer	3.219646771412954e-15
tcp.ack	3.219646771412954e-15
http.tls_port	3.219646771412954e-15
http.response	3.219646771412954e-15
arp.opcode	3.219646771412954e-15
