Principal Component	Explained Variance Ratio
1	0.146918
2	0.107370
3	0.093900
4	0.070357
5	0.065192
6	0.056913
7	0.052115
8	0.048827
9	0.039970
10	0.035013
11	0.032439
12	0.032275
13	0.032195
14	0.027063
15	0.025162
16	0.023992
17	0.019888
18	0.018531
19	0.015811
20	0.011023
21	0.009617
22	0.008264
23	0.007565
24	0.006486
25	0.004197
26	0.003571
27	0.002492
28	0.001592
29	0.000854
30	0.000226
31	0.000181
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
