http.request.uri.query,mqtt.topic,mqtt.protoname,http.request.version,mqtt.conack.flags,http.request.method,ip.dst_host,tcp.srcport,tcp.options,arp.dst.proto_ipv4,ip.src_host,arp.src.proto_ipv4,Attack_label
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13313,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13314,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13315,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13315,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13316,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13316,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13317,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13317,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13318,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13318,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13319,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13319,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13320,28232,0,2450,0,0
6,0,0,1,0,1,1811,1469,28231,0,2451,0,0
6,0,2,1,0,1,1812,13320,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,2,1,1811,1469,0,0,2451,0,0
6,2,0,1,0,1,1812,13320,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13320,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13320,0,0,2450,0,0
6,0,0,1,0,1,1811,1469,0,0,2451,0,0
6,0,0,1,0,1,1812,13320,0,0,2450,0,0
6,0,0,1,0,1,1812,13320,0,0,2450,0,0
